NewsId,ExpandedUrl,ShortUrl,DisplayUrl,SourceUrl,Text,Title,Description,PublicationTime
14,http://AP,http://AP,http://AP,http://AP,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
15,http://AQ,http://AQ,http://AQ,http://AQ,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
16,http://AR,http://AR,http://AR,http://AR,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
17,http://AS,http://AS,http://AS,http://AS,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
18,http://AT,http://AT,http://AT,http://AT,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
19,http://AU,http://AU,http://AU,http://AU,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
20,http://AV,http://AV,http://AV,http://AV,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,apple microsoft samsung sony computer monitor digital dell keyboard mouse,12/4/2010 0:00
21,http://Z,http://Z,http://Z,http://Z,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
22,http://AA,http://AA,http://AA,http://AA,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
23,http://AX,http://AX,http://AX,http://AX,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
24,http://AY,http://AY,http://AY,http://AY,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
25,http://AZ,http://AZ,http://AZ,http://AZ,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
26,http://BA,http://BA,http://BA,http://BA,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
27,http://BB,http://BB,http://BB,http://BB,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
28,http://BC,http://BC,http://BC,http://BC,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
29,http://BD,http://BD,http://BD,http://BD,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
30,http://BE,http://BE,http://BE,http://BE,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
31,http://BF,http://BF,http://BF,http://BF,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
32,http://BG,http://BG,http://BG,http://BG,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
33,http://BH,http://BH,http://BH,http://BH,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
34,http://BI,http://BI,http://BI,http://BI,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
35,http://BJ,http://BJ,http://BJ,http://BJ,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
36,http://BK,http://BK,http://BK,http://BK,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
37,http://BL,http://BL,http://BL,http://BL,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
38,http://BM,http://BM,http://BM,http://BM,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
39,http://BN,http://BN,http://BN,http://BN,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
40,http://BO,http://BO,http://BO,http://BO,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,football volleyball basketball baseball swimming hiking biking running climbing boxing,12/4/2010 0:00
41,http://AB,http://AB,http://AB,http://AB,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
42,http://AC,http://AC,http://AC,http://AC,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
43,http://AD,http://AD,http://AD,http://AD,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
44,http://BP,http://BP,http://BP,http://BP,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
45,http://BQ,http://BQ,http://BQ,http://BQ,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
46,http://BR,http://BR,http://BR,http://BR,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
47,http://BS,http://BS,http://BS,http://BS,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
48,http://BT,http://BT,http://BT,http://BT,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
49,http://BU,http://BU,http://BU,http://BU,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
50,http://BV,http://BV,http://BV,http://BV,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
51,http://BW,http://BW,http://BW,http://BW,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
52,http://BX,http://BX,http://BX,http://BX,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
53,http://BY,http://BY,http://BY,http://BY,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
54,http://BZ,http://BZ,http://BZ,http://BZ,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
55,http://CA,http://CA,http://CA,http://CA,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
56,http://CB,http://CB,http://CB,http://CB,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
57,http://CC,http://CC,http://CC,http://CC,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
58,http://CD,http://CD,http://CD,http://CD,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
59,http://CE,http://CE,http://CE,http://CE,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
60,http://CF,http://CF,http://CF,http://CF,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,football volleyball whatsapp instagram twitter tiktok facebook linkedin snapchat discord skype zoom,12/4/2010 0:00
